district,state,cd,member,party,harris_pct_2024map,trump_pct_2024map,dem_margin_2024map,harris_pct_2026map,trump_pct_2026map,dem_margin_2026map,redistricted
PA-04,PA,4,Madeleine Dean,D,57.4,41.6,15.8,57.4,41.6,15.8,0
PA-05,PA,5,Mary Gay Scanlon,D,63.8,35.2,28.6,63.8,35.2,28.6,0
PA-06,PA,6,Chrissy Houlahan,D,55.2,43.8,11.4,55.2,43.8,11.4,0
PA-07,PA,7,Ryan Mackenzie,R,47.9,51.1,-3.2,47.9,51.1,-3.2,0
PA-08,PA,8,Rob Bresnahan,R,45.4,53.8,-8.5,45.4,53.9,-8.5,0
PA-09,PA,9,Dan Meuser,R,30.6,68.5,-37.9,30.6,68.5,-37.9,0
PA-10,PA,10,Scott Perry,R,46.8,52,-5.2,46.8,52,-5.2,0
PA-11,PA,11,Lloyd Smucker,R,38.8,60.2,-21.4,38.8,60.2,-21.4,0
PA-12,PA,12,Summer Lee,D,59.1,39.9,19.2,59.1,39.9,19.2,0
PA-13,PA,13,John Joyce,R,26.8,72.4,-45.5,26.8,72.4,-45.5,0
PA-14,PA,14,Guy Reschenthaler,R,33,66.3,-33.4,33,66.3,-33.4,0
PA-15,PA,15,Glenn Thompson,R,30.6,68.6,-38,30.6,68.6,-38,0
PA-16,PA,16,Mike Kelly,R,38.2,61,-22.8,38.2,61,-22.8,0
PA-17,PA,17,Chris Deluzio,D,52.3,46.8,5.5,52.3,46.8,5.5,0
RI-01,RI,1,Gabe Amo,D,60,37.8,22.2,60,37.8,22.2,0
RI-02,RI,2,Seth Magaziner,D,52.3,45.5,6.8,52.3,45.5,6.8,0
SC-01,SC,1,Nancy Mace,R,42.7,55.7,-13,42.7,55.8,-13,0
SC-02,SC,2,Joe Wilson,R,42.3,56.2,-13.9,42.3,56.2,-13.9,0
SC-03,SC,3,Sheri Biggs,R,27.8,70.9,-43.1,27.8,70.9,-43.1,0
SC-04,SC,4,William Timmons,R,37.4,61,-23.6,37.4,61,-23.6,0
SC-05,SC,5,Ralph Norman,R,37.9,60.7,-22.8,37.9,60.7,-22.8,0
SC-06,SC,6,Jim Clyburn,D,60.5,37.9,22.7,60.5,37.9,22.7,0
SC-07,SC,7,Russell Fry,R,36.3,62.6,-26.3,36.3,62.6,-26.3,0
SD-AL,SD,99,Dusty Johnson,R,34.2,63.4,-29.2,34.2,63.4,-29.2,0
TN-01,TN,1,Diana Harshbarger,R,20.6,78.4,-57.8,20.6,78.4,-57.8,0
TN-02,TN,2,Tim Burchett,R,32.4,66.2,-33.9,32.4,66.2,-33.9,0
TN-03,TN,3,Chuck Fleischmann,R,31.4,67.3,-35.9,31.5,67.2,-35.7,1
TN-04,TN,4,Scott DesJarlais,R,27.6,71.2,-43.6,37.3,61.2,-23.9,1
TN-05,TN,5,Andy Ogles,R,40.3,58.1,-17.8,37.8,60.9,-23.1,1
TN-06,TN,6,John Rose,R,31.8,67,-35.2,36.1,62.6,-26.5,1
TN-07,TN,7,Matt Van Epps,R,38.1,60.4,-22.3,38.1,60.5,-22.4,1
TN-08,TN,8,David Kustoff,R,28.9,70,-41.1,39.2,59.4,-20.1,1
TN-09,TN,9,Steve Cohen,D,70.8,27.4,43.4,38.8,59.9,-21.1,1
TX-01,TX,1,Nathaniel Moran,R,24,75.3,-51.3,24.9,74.4,-49.5,1
TX-02,TX,2,Dan Crenshaw,R,37.5,61.3,-23.8,38,60.8,-22.8,1
TX-03,TX,3,Keith Self,R,38.8,58.9,-20.1,37.1,60.6,-23.4,1
TX-04,TX,4,Pat Fallon,R,33,65.6,-32.6,36.8,61.5,-24.7,1
TX-05,TX,5,Lance Gooden,R,35.9,63,-27.1,38.7,60.3,-21.6,1
TX-06,TX,6,Jake Ellzey,R,35.2,63.7,-28.5,37.8,60.7,-22.9,1
TX-07,TX,7,Lizzie Fletcher,D,58.9,38.2,20.8,60.3,36.9,23.4,1
TX-08,TX,8,Morgan Luttrell,R,32.4,66.3,-33.9,35.5,63.2,-27.6,1
TX-09,TX,9,Al Green,D,71.3,27.2,44.1,39.7,59.5,-19.8,1
TX-10,TX,10,Michael McCaul,R,36.9,61.8,-24.8,38,60.7,-22.6,1
TX-11,TX,11,August Pfluger,R,26.8,72.3,-45.5,32.2,66.6,-34.4,1
TX-12,TX,12,Craig Goldman,R,38.1,60.7,-22.6,37.5,61.4,-23.9,1
TX-13,TX,13,Ronny Jackson,R,25.6,73.4,-47.8,26.4,72.6,-46.2,1
TX-14,TX,14,Randy Weber,R,32.5,66.5,-34.1,37.3,61.6,-24.3,1
TX-15,TX,15,Monica De La Cruz,R,40.7,58.5,-17.9,40.7,58.5,-17.9,1
TX-16,TX,16,Veronica Escobar,D,57.4,41.4,16,57.6,41.2,16.4,1
